identifier,parkhaus,kapazitaet,tendenz,timestamp,x,y
PH08,,-1,-1,2020-03-19 10:18:44,6.9446990644397,50.944858434604
PH06,Maastrichter Straße,165,0,2022-07-29 16:14:55,6.9379774159288,50.938607761777
PH07,Im Klapperhof,200,0,2022-07-29 16:14:56,6.9441022354946,50.94208004413
PH10,Cäcilienstraße,338,0,2022-07-29 16:14:48,6.9513660318013,50.934957685307
PH23,Lungengasse,123,1,2022-07-29 16:15:00,6.9461361828018,50.934757900476
PH24,Wolfsstraße,113,0,2022-07-29 16:14:54,6.9469644789811,50.937915083986
PH25,Bazaar de Cologne,65,0,2022-07-29 16:14:56,6.9436098712696,50.937536974373
PH34,,-1,-1,2021-08-10 15:00:56,7.0774615474986,50.948819109922
W_P08W,Stadion P8 PKW - nur bei Veranstaltungen geöffnet,-1,-1,2022-07-29 16:15:03,6.8672853225813,50.923908142879
PH11,Galeria Kaufhof,860,0,2022-07-29 16:14:54,6.9549356496049,50.935512139849
PH12,Hohe Straße,10,0,2022-07-29 16:14:55,6.956969426138,50.938818322033
PH13,Schildergasse,141,0,2022-07-29 16:15:06,6.9511556847312,50.935622642381
PH14,Theater-Parkhaus,77,0,2022-07-29 16:14:53,6.9498329955019,50.937197867911
PH15,Opernpassagen,0,0,2022-07-27 14:58:59,6.9522635846511,50.938733309515
PH16,Maritim,422,0,2022-07-29 16:14:51,6.9621927836308,50.935596356231
PH17,Am Neumarkt,225,0,2022-07-29 16:14:58,6.9473120749781,50.934765505168
PH18,Alte Wallgasse,50,2,2022-07-29 16:14:47,6.9424662370438,50.939834944491
PH19,Gürzenich,187,0,2022-07-29 16:14:57,6.9578148716144,50.936952558885
PH20,Galeria Karstadt ,294,0,2022-07-29 16:15:00,6.9479966003791,50.938493006043
PH21,Kreissparkasse,0,0,2022-07-29 16:14:56,6.9473746831007,50.937201409194
PH22,Heumarkt,200,0,2022-07-29 16:14:53,6.9616086276332,50.936458695559
W_P007,Stadion P7 - nur bei Veranstaltungen geöffnet,1000,0,2022-07-29 16:15:02,6.8683022070552,50.925815299455
W_P08o,Stadion P8 Bus - nur bei Veranstaltungen geöffnet,40,0,2022-07-29 16:15:01,6.8688680063616,50.924121100435
PH26,Quincy,145,1,2022-07-29 16:14:50,6.9503004467856,50.939400441073
PH27,Sparkasse KölnBonn,-1,-1,2022-07-29 00:00:02,6.9413430495362,50.93512012092
PH28,P+R Stadion,541,0,2022-07-29 16:14:46,6.874751228488,50.937498145559
PH37-2,Rheinauhafen Bayenturm,60,-1,2022-07-27 14:58:59,6.9639700487528,50.927293521788
PH37-3,Rheinauhafen Oberländer Wall,20,-1,2022-07-27 14:58:59,6.9684058903415,50.921036162375
PH38,Rhein Triadem,480,0,2022-07-29 16:15:06,6.9617373040871,50.944105491975
W_P001,Stadion P1 - nur bei Veranstaltungen geöffnet,600,0,2022-07-29 16:15:01,6.8841564936308,50.939818411048
W_P003,Stadion P3  - nur bei Veranstaltungen geöffnet,937,0,2022-07-29 16:15:01,6.869058667277,50.93892502667
W_P004,Stadion P4 - nur bei Veranstaltungen geöffnet,500,0,2022-07-29 16:15:02,6.8733040228654,50.939225935799
W_P006,Stadion P6 - nur bei Veranstaltungen geöffnet,1000,0,2022-07-29 16:15:02,6.8680070835227,50.927534449508
D_P001,LANXESS arena 1,1014,0,2022-07-29 16:14:49,6.9833329558643,50.938961932268
D_P002,LANXESS arena 2,12,0,2022-07-29 16:05:37,6.9802124264528,50.938736483894
D_P003,,634,0,2022-07-29 16:15:13,6.9835133222035,50.938070468774
D_P004,LANXESS arena 4,83,0,2022-07-29 16:15:02,6.9851099157387,50.93889301039
D_P006,Köln Arcaden,510,0,2022-07-29 16:14:45,6.99758595913,50.938166761925
PH01,Hauptbahnhof,206,0,2022-07-29 16:14:45,6.9600578052561,50.943542812224
PH02,Am Dom,10,1,2022-07-29 16:14:48,6.9596401539269,50.940296956501
PH03,Groß Sankt Martin,57,0,2022-07-29 16:14:51,6.9604378359559,50.939874386219
PH04,Brückenstraße,241,0,2022-07-29 16:14:56,6.955146608644,50.937442399658
PH05,REWE,132,0,2022-07-29 16:15:06,6.9566578451201,50.935551969417
PH09,Philharmonie,227,0,2022-07-29 16:14:54,6.9614107915603,50.940454921949
PH29,Kaiser-Wilhelm-Ring,258,0,2022-07-29 16:14:58,6.9418557264947,50.943669087684
PH30,Rudolfplatz,0,0,2022-07-29 16:14:54,6.9382153635307,50.935998350898
PH31,An Farina,47,2,2022-07-29 16:14:59,6.957707484662,50.938337727929
PH33,Mediapark,253,0,2022-07-29 16:14:54,6.9445472822496,50.947637036798
PH35,Gerling Ring Karree,143,0,2022-07-29 16:14:59,6.9408824061594,50.941262592717
PH36,P+R Marsdorf,553,0,2022-07-29 16:15:08,6.8483183597997,50.916252642632
PH37-1,Rheinauhafen Museen,60,-1,2022-07-27 14:58:59,6.9629598573074,50.931409990224
PH32,Zoo/Flora,-1,-1,2021-10-14 08:39:56,6.9750651613406,50.957234672796
